title,timestamp,price,original_price,shipping,item_url
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:53.473958,US $172.38,N/A,Free shipping,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:53.547267,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:53.596717,US $172.38,N/A,Free shipping,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:53.655745,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:53.706617,US $172.38,N/A,Free shipping,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:53.772588,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:53.827055,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:53.886899,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:53.959052,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:54.090188,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:54.158354,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:54.217479,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:54.277298,US $172.38,N/A,Free shipping,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:54.384603,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:54.457798,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:54.527846,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:54.595361,US $172.38,N/A,Free shipping,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:54.672261,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:54.751854,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:54.815928,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:54.898305,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:54.952973,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:55.025796,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:55.112809,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:55.170149,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
"Sony Xperia 10 IV 5G XQ-CC54 128GB 6.0"" Android Global SmartPhone",2026-03-11 13:44:55.221997,US $172.38,N/A,N/A,https://www.ebay.com/itm/197837525392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468
